Genus,Species,Code,NFI_CODE,den0,rel1,unc1,cod1,rel2,unc2,cod2,rel3,unc3,cod3,rel4,unc4,cod4
Gymnocladus,dioicus,GYDI,GYMN_DIO,0.5,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Halesia,species,HASP,HALE_SPE,0.32,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Ilex,opaca,ILOP,ILEX_OPA,0.5,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Juglans,cinerea,JUCI,JUGL_CIN,0.36,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Juglans,species,JUSP,JUGL_SPE,0.51,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Julglans,nigra,JUNI,JULG_NIG,0.51,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Juniperus,monosperma,JUMO,JUNI_MON,0.45,0.994,0.071,B,0.951,0.26,B,0.902,0.146,B,0.605,0.218,C
Juniperus,occidentalis,JUOC,JUNI_OCC,0.44,0.994,0.071,B,0.951,0.26,B,0.902,0.146,B,0.605,0.218,C
Juniperus,species,JUSP2,JUNI_SPE,0.44,0.982,0.129,B,0.844,0.199,B,0.775,0.163,B,0.525,0.223,C
Larix,laricina,LALA,LARI_LAR,0.49,0.994,0.071,B,0.951,0.26,B,0.902,0.146,B,0.605,0.218,C
Larix,lyallii,LALY,LARI_LYA,0.48,0.994,0.071,B,0.951,0.26,B,0.902,0.146,B,0.605,0.218,C
Larix,occidentalis,LAOC,LARI_OCC,0.48,0.994,0.071,B,0.951,0.26,B,0.902,0.146,B,0.605,0.218,C
Larix,species,LASP,LARI_SPE,0.44,0.994,0.071,B,0.951,0.26,B,0.902,0.146,B,0.605,0.218,C
Liquidambar,styraciflua,LIST,LIQU_STY,0.46,1.017,0.013,B,0.778,0.039,B,0.526,0.075,B,0.525,0.223,C
Liriodendron,tulipifera,LITU,LIRI_TUL,0.41,0.91,0.03,A,0.85,0.02,A,0.554,0.075,B,0.501,0.214,C
Lithocarpus,densiflorus,LIDE,LITH_DEN,0.58,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Maclura,pomifera,MAPO,MACL_POM,0.76,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Magnolia,acuminata,MAAC,MAGN_ACU,0.45,0.884,0.026,B,0.862,0.074,B,0.53,0.08,B,0.525,0.223,C
Magnolia,species,MASP,MAGN_SPE,0.45,0.884,0.116,B,0.862,0.218,B,0.53,0.152,B,0.525,0.223,C
Malus,species,MASP2,MALU_SPE,0.61,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Melia,azedarach,MEAZ,MELI_AZE,0.47,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Morus,alba,MOAL,MORU_ALB,0.59,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Morus,rubra,MORU,MORU_RUB,0.59,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Morus,species,MOSP,MORU_SPE,0.59,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
